Fecha,Ciudad,Sistema,Pasajeros/dia,Variación Transmilenio,Pasajeros día típico laboral,Pasajeros día sábado,Pasajeros día festivo,DíaSemana
29/03/2020,Pereira,MEGABUS,7511,"-0,8563203",128221,100186,52276,7
30/03/2020,Bogotá,TRANSMILENIO/SITP,641943,"-0,833696151",3860061,2499019,1188607,1
30/03/2020,Cartagena,TRANSCARIBE,4881,"-0,965135714",140000,95430,45203,1
30/03/2020,Barranquilla,TRANSMETRO,26393,"-0,817065901",144276,110000,52000,1
30/03/2020,Bucaramanga,METROLINEA,20765,"-0,804387965",106154,70267,33354,1
30/03/2020,Medellin,SITVA,277118,"-0,854300102",1901978,1498727,780939,1
30/03/2020,Pereira,MEGABUS,20836,"-0,837499318",128221,100186,52276,1
31/03/2020,Bogotá,TRANSMILENIO/SITP,625313,"-0,838004374",3860061,2499019,1188607,2
31/03/2020,Cartagena,TRANSCARIBE,4237,"-0,969735714",140000,95430,45203,2
31/03/2020,Barranquilla,TRANSMETRO,26254,"-0,818029333",144276,110000,52000,2
31/03/2020,Bucaramanga,METROLINEA,20163,"-0,810058971",106154,70267,33354,2
31/03/2020,Medellin,SITVA,268372,"-0,858898473",1901978,1498727,780939,2
31/03/2020,Pereira,MEGABUS,20965,"-0,836493242",128221,100186,52276,2
01/04/2020,Bogotá,TRANSMILENIO/SITP,668539,"-0,826806105",3860061,2499019,1188607,3
01/04/2020,Cartagena,TRANSCARIBE,4634,"-0,9669",140000,95430,45203,3
01/04/2020,Barranquilla,TRANSMETRO,27574,"-0,808880202",144276,110000,52000,3
01/04/2020,Bucaramanga,METROLINEA,21362,"-0,79876406",106154,70267,33354,3
01/04/2020,Medellin,SITVA,277767,"-0,853958879",1901978,1498727,780939,3
01/04/2020,Pereira,MEGABUS,21335,"-0,833607599",128221,100186,52276,3
02/04/2020,Bogotá,TRANSMILENIO/SITP,657300,"-0,829717717",3860061,2499019,1188607,4
02/04/2020,Cartagena,TRANSCARIBE,4259,"-0,969578571",140000,95430,45203,4
02/04/2020,Barranquilla,TRANSMETRO,24679,"-0,828945909",144276,110000,52000,4
02/04/2020,Bucaramanga,METROLINEA,21654,"-0,796013339",106154,70267,33354,4
